id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4173713,The Suite at Bittersweet,20973612,Matthew,,28804,35.65384,-82.54235,Entire home/apt,240,2,79,2021-12-09,0.96,2,292,13,
4241484,Charming Cozy Home near Biltmore and Parkway,352405,Molly Rose,,28803,35.54616,-82.51704,Entire home/apt,112,2,284,2021-12-02,3.32,2,162,80,
4285157,Nana's Nest,637074,Johanna,,28805,35.58668,-82.50199,Private room,54,30,31,2021-05-25,0.35,3,364,1,
4304358,Nana's nest 3,637074,Johanna,,28805,35.58668,-82.50199,Private room,58,30,50,2021-11-17,0.60,3,352,3,
4394670,Sweet Suite,22813406,Beth,,28804,35.63595,-82.53366,Entire home/apt,62,2,259,2021-12-05,2.98,1,160,28,
4394761,"Bohemian Retreat: Clean, Deck, Near Downtown!",20447538,Danielle,,28801,35.61244,-82.55724,Entire home/apt,109,1,265,2021-11-26,3.24,2,329,40,
4448604,Private & Clean Mini Suite - 2 miles from downtown,5656896,Michael,,28804,35.622231,-82.561401,Entire home/apt,42,2,400,2021-11-21,5.17,2,305,43,
4515772,Views of Downtown and Mountains,17363326,Michael,,28801,35.59191,-82.54488,Entire home/apt,200,30,73,2021-10-31,0.84,2,106,1,
4527048,"The Bird House in Asheville, NC",21505164,Ellen,,28803,35.57474,-82.54074,Entire home/apt,180,3,0,,,1,338,0,
4587394,Urbane Retreat Cabin In town Asheville 90 DAYS,16339042,Lori & Lizzie,,28805,35.58712,-82.49266,Entire home/apt,72,90,157,2021-09-07,1.84,1,167,3,
4846733,"Chalet at Winghaven, Sunny Log Home",24938934,Jofre & Saskia,,28732,35.4456,-82.46756,Entire home/apt,267,2,131,2021-12-12,1.62,2,327,31,
4875054,River Arts Studio,14485502,Bob,,28806,35.57923,-82.57162,Entire home/apt,96,2,145,2021-11-14,2.48,1,3,29,
4895765,Beautiful Kenilworth Jewel,5035186,Lynn & Jake,,28803,35.57424,-82.53288,Entire home/apt,111,2,582,2021-12-13,6.97,1,332,84,
4994407,Amazing Asheville Location VIEWS!,25749896,Sydney,,28805,35.62464,-82.52114,Entire home/apt,250,3,201,2021-11-30,2.39,1,253,38,
5114762,Sunny Days,21362898,Susan,,28806,35.58072,-82.59573,Entire home/apt,124,1,530,2021-11-28,6.35,1,12,83,
5144212,Hip studio in the heart of downtown,6074062,Melissa,,28801,35.59623,-82.55357,Entire home/apt,307,1,557,2021-12-08,6.75,6,245,98,
5151226,Convenient to Everything! Private,4117051,Louise And Steve,,28805,35.60858,-82.48867,Entire home/apt,347,3,107,2021-10-22,1.38,3,209,11,
5213038,Strawbridge House,16596642,Barry,,28801,35.60065,-82.55765,Entire home/apt,180,60,319,2021-01-31,3.83,2,198,1,
5333015,"Griffin's Lair  Biltmore Village, NC 28803",27580922,Robert,,28803,35.56642,-82.54681,Entire home/apt,250,2,86,2021-07-29,1.06,1,286,2,
5336187,Parklike Setting,27654072,Suzy,,28704,35.46994,-82.55996,Entire home/apt,49,30,1,2015-07-01,0.01,1,189,0,
5344892,Peaceful Mountainside Living,5912974,Daniel,,28805,35.62436,-82.49177,Private room,99,2,161,2021-11-07,2.32,1,82,24,
5464591,Artsy/Zen Bungalow in W. Asheville!,28342264,Kristin,,28806,35.5751,-82.59686,Entire home/apt,166,1,248,2021-11-28,3.02,1,307,40,
5481195,"Asheville's Famous ""Pink House""",28424329,Tim,,28804,35.61937,-82.55071,Private room,475,1,125,2020-08-23,1.54,1,347,0,
5696919,Hidden getaway close to downtown!,29536562,Jessica,,28805,35.58304,-82.53813,Entire home/apt,110,1,307,2021-12-01,3.77,1,316,55,
5716399,The AshVilla- Prime West Asheville location,2392127,David And Melissa,,28806,35.58265,-82.58182,Entire home/apt,113,1,193,2021-10-31,2.41,3,326,13,
5804994,"The Loungeport, Near Everything!!!",30116543,Austin,,28801,35.58083,-82.55611,Private room,89,2,38,2017-11-05,0.47,1,216,0,
5839119,Historic Montford -  Walk to town!,30315956,Brooke,,28801,35.60193,-82.56342,Entire home/apt,576,3,124,2021-11-24,1.54,1,135,32,
